MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,fr_aniline,fr_bicyclic,fr_ether,tg
8.142335719,-4.283687248,0.87454369,152.281,1.727272727,7.001170175,0,0,58.3382069,0,0,0,0,0,0,0,0,0,6.875840478,0,0,0,0,0,0,0,0,0,0,-6.280393532,0,0,0,0,0,-83
7.935336357,-3.245297147,0.544976852,96.173,2.714285714,6.411761737,0,0,26.95254961,0,0,0,0,0,0,0,0,5.893957685,6.875840478,0,0,0,0,0,0,0,0,0,-3.045949074,-8.74649093,0,0,0,0,0,-47
8.138287037,-3.009212963,0.239583333,94.157,2.285714286,3.807789231,0,0,25.51564797,0,0,0,0,0,0,0,0,5.893957685,6.396873262,0,0,0,6.554987323,0,0,0,0,0,-2.827546296,-0.239583333,0,0,0,0,0,31
8.056440539,-4.545088105,0.633736578,166.308,1.083333333,7.205619803,0,0,64.23216459,0,0,0,0,0,0,0,0,0,6.875840478,0,0,0,0,0,0,0,0,0,0,-3.559566804,0,0,0,0,0,-53
6.898148148,0.064814815,0.064814815,26.038,3,3.675948765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10997465,0,0,0,0,0,1.407407407,0,0,0,0,0,-4
8.033958333,-3.420555556,1.285070862,96.173,1.857142857,3.927010987,0,0,44.65837103,0,0,0,0,0,0,0,0,0,12.79374652,0,0,0,0,0,0,0,0,0,-2.397222222,-2.280555556,0,0,0,0,0,100
7.94912037,-3.53175548,0.753310185,110.2,2.25,7.115888746,0,0,33.80444173,0,0,0,0,0,0,0,0,5.414990469,6.875840478,0,0,0,0,0,0,0,0,-3.358449074,0,-12.97658825,0,0,0,0,0,20
8.194907407,-1.679539872,0.144907407,104.152,2,3.722974656,0,0,13.27271374,0,0,0,0,0,0,0,0,0,6.875840478,0,0,0,5.563451492,0,0,0,0,-0.144907407,0,-1.679539872,0,0,0,0,0,99.9
8.344907407,-2.807939815,0.353240741,118.179,2.222222222,3.982106793,0,0,20.12460586,0,0,0,0,0,0,0,0,6.851892117,6.875840478,0,0,0,5.563451492,0,0,0,0,-0.948217593,0,-4.649979686,0,0,0,0,0,131
8.463104686,-3.185308012,0.520601852,148.205,2.090909091,3.965062508,0,0,19.83169898,7.037952459,0,0,0,0,0,7.037952459,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.32287037,0,-5.11221927,-3.185308012,0,0,0,1,89
8.521698436,-3.497808012,0.620516818,162.232,2,3.942739832,0,0,26.6835911,6.558985243,0,0,0,0,0,6.558985243,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.550563114,0,-12.29932087,0,0,0,0,1,74
8.567994733,-3.784266345,0.700236206,176.259,1.923076923,3.93611867,0,0,33.056516,6.558985243,0,0,0,0,0,6.558985243,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.730197468,0,-12.98579309,0,0,0,0,1,97
