Porosity,YM,UTS,FS,ym
78.6352,1752,45,41,51.4904
84.3152,1752,45,41,27.3292
89.2529,1752,45,41,14.506
33.8186,1305,37,110,138.8675
37.5832,1305,37,110,119.95
38.4624,1305,37,110,127.0355
38.9534,1305,37,110,120.9999
38.9955,1305,37,110,125.799
41.5676,1305,37,110,119.9441
45.5706,1305,37,110,108.9808
45.898,1305,37,110,103.5095
47.9743,1305,37,110,112.3869
55.8588,1305,37,110,84.3393
58.9453,1305,37,110,79.4592
59.2493,1305,37,110,83.9558
63.9491,1305,37,110,51.5435
66.3669,1305,37,110,53.6758
67.0262,1305,37,110,58.3729
75.6871,1305,37,110,42.2092
77.8008,1305,37,110,32.6016
84.5162,1305,37,110,15.1036
86.0922,1305,37,110,20.0042
90.0672,1305,37,110,8.6138
90.9043,1305,37,110,10.1334
36.7771,1673,46,51,204.0477
38.7848,1673,46,51,218.0661
39.8339,1673,46,51,217.3609
42.7415,1673,46,51,181.3931
45.5723,1673,46,51,189.166
45.6808,1673,46,51,189.9644
50.1299,1673,46,51,156.4692
50.2434,1673,46,51,157.2147
50.8765,1673,46,51,171.0999
53.6032,1673,46,51,150.447
54.1368,1673,46,51,145.7086
55.3306,1673,46,51,145.8196
58.9075,1673,46,51,118.75
59.6943,1673,46,51,118.0663
60.038,1673,46,51,112.9525
62.8642,1673,46,51,95.4693
64.0037,1673,46,51,87.6952
64.6911,1673,46,51,86.7517
70.244,1673,46,51,52.9934
71.777,1673,46,51,48.5745
72.5367,1673,46,51,49.9336
49.3379,4100,69,5.3,321.8843
52.8755,4100,69,5.3,276.7238
59.5061,4100,69,5.3,220.5293
64.4733,4100,69,5.3,197.8053
68.3443,4100,69,5.3,174.0714
73.2157,4100,69,5.3,113.6018
77.6195,4100,69,5.3,64.3235
49.1501,4100,69,5.3,401.0421
50.2079,4100,69,5.3,408.8901
55.1828,4100,69,5.3,353.5041
56.3058,4100,69,5.3,343.0136
60.2995,4100,69,5.3,344.81
60.9894,4100,69,5.3,292.5032
64.0555,4100,69,5.3,219.2449
64.6994,4100,69,5.3,212.0308
68.4861,4100,69,5.3,161.2527
68.6663,4100,69,5.3,167.634
73.1391,4100,69,5.3,120.1381
73.5645,4100,69,5.3,136.8327
78.7233,4100,69,5.3,87.9358
79.2599,4100,69,5.3,100.6086
48.5098,1500,33,51,159.3538
49.1106,1500,33,51,146.9875
49.4066,1500,33,51,144.085
53.4398,1500,33,51,124.903
54.3808,1500,33,51,124.5643
54.7607,1500,33,51,119.6614
60.7996,1500,33,51,90.5701
61.502,1500,33,51,93.5709
61.8112,1500,33,51,94.8679
63.1674,1500,33,51,71.2914
64.0421,1500,33,51,70.9258
64.1437,1500,33,51,69.9032
68.6408,1500,33,51,51.3451
69.7541,1500,33,51,47.905
69.8601,1500,33,51,47.8313
75.8504,1500,33,51,44.0043
76.0845,1500,33,51,45.5873
76.5528,1500,33,51,42.535
80.0383,1500,33,51,30.7477
81.9909,1500,33,51,31.015
81.9909,1500,33,51,32.456
52.9442,2200,46,48,174.6319
58.9824,2200,46,48,132.6175
65.1808,2200,46,48,101.1294
66.9813,2200,46,48,79.9379
73.5592,2200,46,48,58.3214
78.6317,2200,46,48,53.2546
86.2089,2200,46,48,35.0387
47.5723,2200,46,48,187.3851
49.1577,2200,46,48,171.7667
55.1369,2200,46,48,155.4799
56.1151,2200,46,48,149.1194
60.4456,2200,46,48,135.1765
60.6311,2200,46,48,128.6426
64.3375,2200,46,48,108.2675
64.8561,2200,46,48,113.0746
70.5021,2200,46,48,84.6708
69.5281,2200,46,48,84.7201
73.4748,2200,46,48,67.5667
74.1368,2200,46,48,74.1387
83.679,2200,46,48,30.2716
83.173,2200,46,48,38.4566
48.0422,2800,65,6.2,296.7101
48.7013,2800,65,6.2,275.431
49.4081,2800,65,6.2,278.9723
52.6603,2800,65,6.2,250.0589
55.223,2800,65,6.2,256.6665
56.3937,2800,65,6.2,244.4611
60.396,2800,65,6.2,208.4413
60.6736,2800,65,6.2,206.8943
60.8904,2800,65,6.2,207.7538
61.3197,2800,65,6.2,173.9762
61.7056,2800,65,6.2,174.5249
62.6899,2800,65,6.2,182.4955
67.2429,2800,65,6.2,133.0854
67.7155,2800,65,6.2,136.343
68.7519,2800,65,6.2,136.2883
73.4307,2800,65,6.2,90.9243
74.0637,2800,65,6.2,93.2375
74.8573,2800,65,6.2,89.0729
78.1354,2800,65,6.2,52.1533
78.9029,2800,65,6.2,48.9371
79.4189,2800,65,6.2,50.0689
