Porosity,YM,UTS,FS,ystrength
84.3152,1752,45,41,0.7233
89.2529,1752,45,41,0.6289
33.8186,1305,37,110,6.2365
37.5832,1305,37,110,5.1775
38.4624,1305,37,110,6.2201
38.9534,1305,37,110,5.6711
38.9955,1305,37,110,5.3658
41.5676,1305,37,110,5.612
45.5706,1305,37,110,4.4452
45.898,1305,37,110,4.5033
47.9743,1305,37,110,4.4059
55.8588,1305,37,110,3.0074
58.9453,1305,37,110,3.2283
59.2493,1305,37,110,2.9452
63.9491,1305,37,110,2.1582
66.3669,1305,37,110,2.1336
67.0262,1305,37,110,2.3593
75.6871,1305,37,110,1.5976
77.8008,1305,37,110,1.3825
84.5162,1305,37,110,0.832
86.0922,1305,37,110,0.8701
90.0672,1305,37,110,0.3512
90.9043,1305,37,110,0.4366
36.7771,1673,46,51,11.9299
38.7848,1673,46,51,11.5776
39.8339,1673,46,51,10.8982
42.7415,1673,46,51,10.6998
45.5723,1673,46,51,10.046
45.6808,1673,46,51,9.9554
50.1299,1673,46,51,7.8991
50.2434,1673,46,51,8.3298
50.8765,1673,46,51,7.8743
53.6032,1673,46,51,6.681
54.1368,1673,46,51,6.7121
55.3306,1673,46,51,6.8691
58.9075,1673,46,51,5.1103
59.6943,1673,46,51,5.0029
60.038,1673,46,51,5.1115
62.8642,1673,46,51,4.143
64.0037,1673,46,51,3.7522
64.6911,1673,46,51,3.9601
70.244,1673,46,51,2.189
71.777,1673,46,51,2.0642
72.5367,1673,46,51,2.0954
49.3379,4100,69,5.3,6.4623
52.8755,4100,69,5.3,4.4577
59.5061,4100,69,5.3,5.8659
64.4733,4100,69,5.3,4.487
68.3443,4100,69,5.3,2.8312
73.2157,4100,69,5.3,2.3511
77.6195,4100,69,5.3,0.9109
49.1501,4100,69,5.3,6.8304
50.2079,4100,69,5.3,5.826
55.1828,4100,69,5.3,4.7795
56.3058,4100,69,5.3,5.2213
60.2995,4100,69,5.3,4.1544
60.9894,4100,69,5.3,4.9107
64.0555,4100,69,5.3,3.7187
64.6994,4100,69,5.3,3.9845
68.4861,4100,69,5.3,2.7542
68.6663,4100,69,5.3,2.5763
73.1391,4100,69,5.3,1.2606
73.5645,4100,69,5.3,1.4929
78.7233,4100,69,5.3,1.7884
79.2599,4100,69,5.3,1.7123
48.5098,1500,33,51,6.3123
49.1106,1500,33,51,6.3561
49.4066,1500,33,51,6.6162
53.4398,1500,33,51,5.443
54.3808,1500,33,51,5.3063
54.7607,1500,33,51,5.3462
60.7996,1500,33,51,3.7411
61.502,1500,33,51,3.8706
61.8112,1500,33,51,3.9035
63.1674,1500,33,51,2.9528
64.0421,1500,33,51,2.9581
64.1437,1500,33,51,3.1137
68.6408,1500,33,51,2.0924
69.7541,1500,33,51,2.1231
69.8601,1500,33,51,2.2892
75.8504,1500,33,51,1.6768
76.0845,1500,33,51,1.9283
76.5528,1500,33,51,1.8797
80.0383,1500,33,51,1.226
81.9909,1500,33,51,0.9181
81.9909,1500,33,51,1.2387
52.9442,2200,46,48,7.3005
58.9824,2200,46,48,5.3245
65.1808,2200,46,48,3.9458
66.9813,2200,46,48,2.9068
73.5592,2200,46,48,2.2645
78.6317,2200,46,48,1.8974
86.2089,2200,46,48,1.2991
47.5723,2200,46,48,8.5302
49.1577,2200,46,48,8.2498
55.1369,2200,46,48,6.8586
56.1151,2200,46,48,6.6218
60.4456,2200,46,48,5.6687
60.6311,2200,46,48,5.753
64.3375,2200,46,48,4.3315
64.8561,2200,46,48,4.3344
70.5021,2200,46,48,3.5422
69.5281,2200,46,48,3.4581
73.4748,2200,46,48,2.7064
74.1368,2200,46,48,2.9485
83.679,2200,46,48,0.7473
83.173,2200,46,48,1.2254
48.0422,2800,65,6.2,8.8343
48.7013,2800,65,6.2,8.8583
49.4081,2800,65,6.2,7.8377
52.6603,2800,65,6.2,6.4604
55.223,2800,65,6.2,6.5552
56.3937,2800,65,6.2,7.1601
60.396,2800,65,6.2,5.7369
60.6736,2800,65,6.2,6.4136
60.8904,2800,65,6.2,5.9452
61.3197,2800,65,6.2,5.4444
61.7056,2800,65,6.2,4.9574
62.6899,2800,65,6.2,5.4816
67.2429,2800,65,6.2,3.7728
67.7155,2800,65,6.2,3.897
68.7519,2800,65,6.2,3.6634
73.4307,2800,65,6.2,2.4465
74.0637,2800,65,6.2,2.5255
74.8573,2800,65,6.2,2.6251
78.1354,2800,65,6.2,1.2698
78.9029,2800,65,6.2,0.9366
79.4189,2800,65,6.2,0.8915
