Porosity,Young Modulus,Ultimate Strength,Fracture Strain,FStress
69.1914,1806,53,43,3.9783
76.7301,1806,53,43,2.2383
77.2082,1806,53,43,2.5226
79.3286,1806,53,43,1.9654
87.1329,1806,53,43,1.0814
87.4782,1806,53,43,0.8493
87.4915,1806,53,43,1.078
38.0897,1752,45,41,13.5711
40.5585,1752,45,41,10.7478
41.9181,1752,45,41,10.62
43.3553,1752,45,41,11.7762
43.8905,1752,45,41,11.2923
45.8069,1752,45,41,9.8052
48.3793,1752,45,41,8.1884
59.1825,1752,45,41,4.9358
61.8326,1752,45,41,5.9009
63.5461,1752,45,41,4.8125
66.2998,1752,45,41,3.0485
69.1571,1752,45,41,3.9484
72.3035,1752,45,41,1.9859
76.3693,1752,45,41,1.6357
76.9088,1752,45,41,1.4721
78.6352,1752,45,41,2.2027
84.3152,1752,45,41,0.9544
37.5832,1305,37,110,5.8759
38.4624,1305,37,110,6.6553
38.9534,1305,37,110,6.568
38.9955,1305,37,110,6.0321
41.5676,1305,37,110,6.0856
45.5706,1305,37,110,4.9998
47.9743,1305,37,110,5.1827
55.8588,1305,37,110,3.631
58.9453,1305,37,110,3.9767
59.2493,1305,37,110,3.9083
63.9491,1305,37,110,2.8672
66.3669,1305,37,110,3.0569
75.6871,1305,37,110,2.3177
77.8008,1305,37,110,1.9645
84.5162,1305,37,110,1.392
86.0922,1305,37,110,1.1748
90.0672,1305,37,110,0.5215
36.7771,1673,46,51,13.0436
39.8339,1673,46,51,12.5582
42.7415,1673,46,51,11.1946
45.5723,1673,46,51,11.1052
45.6808,1673,46,51,10.9564
50.1299,1673,46,51,8.8647
53.6032,1673,46,51,7.3115
54.1368,1673,46,51,7.2203
55.3306,1673,46,51,7.7197
58.9075,1673,46,51,6.2712
59.6943,1673,46,51,5.8943
60.038,1673,46,51,5.7409
64.0037,1673,46,51,4.373
64.6911,1673,46,51,4.5375
70.244,1673,46,51,2.7768
71.777,1673,46,51,2.5752
72.5367,1673,46,51,2.7037
49.3379,4100,69,5.3,7.7098
52.8755,4100,69,5.3,6.2078
64.4733,4100,69,5.3,4.5539
68.3443,4100,69,5.3,2.9018
73.2157,4100,69,5.3,2.4413
77.6195,4100,69,5.3,1.0546
50.2079,4100,69,5.3,7.7173
56.3058,4100,69,5.3,6.6515
60.2995,4100,69,5.3,4.2907
60.9894,4100,69,5.3,5.7541
64.0555,4100,69,5.3,4.6658
64.6994,4100,69,5.3,4.6472
68.4861,4100,69,5.3,3.1316
73.1391,4100,69,5.3,2.1507
73.5645,4100,69,5.3,1.7102
78.7233,4100,69,5.3,1.9684
79.2599,4100,69,5.3,1.9141
48.5098,1500,33,51,7.7623
49.1106,1500,33,51,7.7653
49.4066,1500,33,51,7.9387
54.3808,1500,33,51,6.0329
60.7996,1500,33,51,5.3018
61.502,1500,33,51,4.4176
61.8112,1500,33,51,4.956
63.1674,1500,33,51,3.8913
64.1437,1500,33,51,3.952
68.6408,1500,33,51,3.0164
69.7541,1500,33,51,3.0817
69.8601,1500,33,51,3.3004
75.8504,1500,33,51,1.8594
76.0845,1500,33,51,2.7407
80.0383,1500,33,51,1.4119
81.9909,1500,33,51,1.0596
81.9909,1500,33,51,1.456
58.9824,2200,46,48,6.4249
66.9813,2200,46,48,4.1045
78.6317,2200,46,48,2.4683
86.2089,2200,46,48,1.4258
47.5723,2200,46,48,9.2218
49.1577,2200,46,48,8.6884
55.1369,2200,46,48,7.2609
56.1151,2200,46,48,7.4312
60.6311,2200,46,48,6.5772
64.3375,2200,46,48,4.8971
64.8561,2200,46,48,4.7323
70.5021,2200,46,48,3.9846
69.5281,2200,46,48,3.6425
73.4748,2200,46,48,2.7743
83.679,2200,46,48,0.8418
83.173,2200,46,48,1.3857
48.7013,2800,65,6.2,9.3443
49.4081,2800,65,6.2,9.4891
52.6603,2800,65,6.2,7.7056
55.223,2800,65,6.2,7.8558
60.396,2800,65,6.2,6.4654
60.6736,2800,65,6.2,7.0717
60.8904,2800,65,6.2,6.5915
61.3197,2800,65,6.2,6.0912
61.7056,2800,65,6.2,5.3332
62.6899,2800,65,6.2,6.144
67.7155,2800,65,6.2,4.4583
68.7519,2800,65,6.2,4.4299
73.4307,2800,65,6.2,2.8696
74.0637,2800,65,6.2,2.8107
74.8573,2800,65,6.2,2.9276
78.1354,2800,65,6.2,1.4347
79.4189,2800,65,6.2,1.2641
