,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,fr_Ar_N,fr_NH0,fr_allylic_oxid,fr_aniline,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_methoxy,fr_para_hydroxylation,tg
26,8.326960464,-5.178933323,1.677721762,252.486,0.888888889,7.851310448,9983670098,0,0,0,0,0,0,0,0,32.34359172,0,17.81986123,0,-6.832853826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
27,8.149652778,-3.842083333,1.330318878,98.189,2.285714286,7.117623435,11622.22865,0,0,0,0,0,0,0,0,0,0,0,0,-13.69430556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
28,8.487535431,-4.235138889,1.434224852,138.254,1.9,4.133107247,371939.739,0,0,0,0,0,0,0,0,0,0,0,-4.235138889,-2.457395597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
29,7.883958333,-3.432708333,1.294481293,84.162,2.5,6.381088547,4043.220362,0,0,0,0,0,0,0,0,0,0,0,-2.495138889,-8.756666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
30,7.48724537,-2.710601852,0.131365741,68.119,2.6,5.492656712,678.975465,0,0,0,0,0,0,0,0,0,0,0,0,-2.28587963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-105
31,7.34287037,-2.216435185,0.045300926,54.092,3,5.00762049,188.4091502,0,0,0,0,0,0,0,0,0,0,0,0,-1.79724537,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-91
32,8.06625,-3.406666667,1.371078515,84.162,2.5,6.495149893,4060.787733,0,0,0,0,0,0,0,0,0,0,0,-3.315972222,-9.076527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26
33,8.302410612,-5.040929548,1.636442651,224.432,1,7.699785058,888504556.2,0,0,0,0,0,0,0,0,19.59774192,0,12.33682701,0,-6.744142398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24
34,7.808253023,-3.809097222,0.43759153,110.2,1.625,6.470954751,28732.63867,0,0,0,0,0,0,0,0,0,0,0,0,-3.080386865,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-78
35,8.600625,-3.948680556,1.450727041,124.227,2.444444444,4.250080852,103797.6477,0,0,0,0,0,0,0,0,0,0,0,-7.597986111,-6.301098356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141
36,8.554791667,-3.936848073,1.429312051,124.227,2.222222222,4.194017067,103856.5987,0,0,0,0,0,0,0,0,0,0,0,-7.533028628,-6.260285573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132
37,8.142335719,-4.283687248,0.87454369,152.281,1.727272727,7.001170175,1078001.623,0,0,0,0,0,0,0,0,0,0,0,0,-6.280393532,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-83
38,7.935336357,-3.245297147,0.544976852,96.173,2.714285714,6.411761737,7495.057359,0,0,0,0,0,0,0,0,0,0,0,-3.045949074,-8.74649093,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-47
39,8.138287037,-3.009212963,0.239583333,94.157,2.285714286,3.807789231,5319.255207,0,0,0,0,0,0,0,0,0,0,0,-2.827546296,-0.239583333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31
40,8.056440539,-4.545088105,0.633736578,166.308,1.083333333,7.205619803,3851862.188,0,0,0,0,0,0,0,0,0,0,0,0,-3.559566804,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-53
41,6.898148148,0.064814815,0.064814815,26.038,3,3.675948765,13.60964047,0,0,0,0,0,0,0,0,0,0,0,0,1.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
42,8.033958333,-3.420555556,1.285070862,96.173,1.857142857,3.927010987,9184.693206,0,0,0,0,0,0,0,0,0,0,0,-2.397222222,-2.280555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
43,7.94912037,-3.53175548,0.753310185,110.2,2.25,7.115888746,22165.71016,0,0,0,0,0,0,0,0,0,0,0,0,-12.97658825,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20
44,8.194907407,-1.679539872,0.144907407,104.152,2,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,0,-1.679539872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9
45,8.344907407,-2.807939815,0.353240741,118.179,2.222222222,3.982106793,13461.49582,0,0,0,0,0,0,0,0,0,0,0,0,-4.649979686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
46,8.463104686,-3.185308012,0.520601852,148.205,2.090909091,3.965062508,66607.54776,0,0,0,0,0,0,0,0,0,0,0,0,-5.11221927,-3.185308012,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,89
47,8.521698436,-3.497808012,0.620516818,162.232,2,3.942739832,233255.587,0,0,0,0,0,0,0,0,0,0,0,0,-12.29932087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74
48,8.567994733,-3.784266345,0.700236206,176.259,1.923076923,3.93611867,793075.2859,0,0,0,0,0,0,0,0,0,0,0,0,-12.98579309,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97
49,8.580292186,-3.810308012,0.720431784,176.259,1.846153846,4.055503995,782100.988,0,0,0,0,0,0,0,0,0,0,0,0,-13.06372311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88
50,8.605494733,-3.999891345,0.765099246,190.286,1.857142857,3.941844592,2691456.035,0,0,0,0,0,0,0,0,0,0,0,0,-13.50846375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67
51,8.636486468,-4.207956782,0.818802949,204.313,1.733333333,3.955982265,9105366.062,0,0,0,0,0,0,0,0,0,0,0,0,-13.91249623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47
52,8.642994733,-4.278790116,0.829962286,204.313,1.733333333,4.044578136,8654793.809,0,0,0,0,0,0,0,0,0,0,0,-4.189683629,-18.1687347,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78
53,8.691707422,-3.412704672,0.647813786,224.303,1.235294118,2.889124182,8954611.972,0,0,0,0,0,0,0,0,0,0,0,0,-8.908099795,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72
54,8.707761933,-3.809292328,0.72900901,238.33,1.277777778,2.871219203,30430002.59,0,0,0,0,0,0,0,0,0,0,0,0,-9.560526586,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63
55,12.49529148,-3.163895975,0.374746788,161.204,2.25,3.938900615,85197.37011,0,0,0,0,0,0,0,0,0,0,0,-1.497291667,-5.142969931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
