Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YM
69.1914,1806,53,43,80.8282
76.7301,1806,53,43,42.7623
77.2082,1806,53,43,52.1353
79.3286,1806,53,43,39.9999
87.1329,1806,53,43,23.2332
87.4782,1806,53,43,19.162
87.4915,1806,53,43,25.8591
38.0897,1752,45,41,278.1811
40.5585,1752,45,41,244.9817
41.9181,1752,45,41,246.9052
43.3553,1752,45,41,245.872
43.8905,1752,45,41,233.6299
45.8069,1752,45,41,214.9752
48.3793,1752,45,41,197.5141
59.1825,1752,45,41,135.3685
61.8326,1752,45,41,144.1169
63.5461,1752,45,41,125.2682
66.2998,1752,45,41,83.8
69.1571,1752,45,41,97.4862
72.3035,1752,45,41,50.0121
76.3693,1752,45,41,36.9569
76.9088,1752,45,41,43.1108
78.6352,1752,45,41,51.4904
84.3152,1752,45,41,27.3292
37.5832,1305,37,110,119.95
38.4624,1305,37,110,127.0355
38.9534,1305,37,110,120.9999
38.9955,1305,37,110,125.799
41.5676,1305,37,110,119.9441
45.5706,1305,37,110,108.9808
47.9743,1305,37,110,112.3869
55.8588,1305,37,110,84.3393
58.9453,1305,37,110,79.4592
59.2493,1305,37,110,83.9558
63.9491,1305,37,110,51.5435
66.3669,1305,37,110,53.6758
75.6871,1305,37,110,42.2092
77.8008,1305,37,110,32.6016
84.5162,1305,37,110,15.1036
86.0922,1305,37,110,20.0042
90.0672,1305,37,110,8.6138
36.7771,1673,46,51,204.0477
39.8339,1673,46,51,217.3609
42.7415,1673,46,51,181.3931
45.5723,1673,46,51,189.166
45.6808,1673,46,51,189.9644
50.1299,1673,46,51,156.4692
53.6032,1673,46,51,150.447
54.1368,1673,46,51,145.7086
55.3306,1673,46,51,145.8196
58.9075,1673,46,51,118.75
59.6943,1673,46,51,118.0663
60.038,1673,46,51,112.9525
64.0037,1673,46,51,87.6952
64.6911,1673,46,51,86.7517
70.244,1673,46,51,52.9934
71.777,1673,46,51,48.5745
72.5367,1673,46,51,49.9336
49.3379,4100,69,5.3,321.8843
52.8755,4100,69,5.3,276.7238
64.4733,4100,69,5.3,197.8053
68.3443,4100,69,5.3,174.0714
73.2157,4100,69,5.3,113.6018
77.6195,4100,69,5.3,64.3235
50.2079,4100,69,5.3,408.8901
56.3058,4100,69,5.3,343.0136
60.2995,4100,69,5.3,344.81
60.9894,4100,69,5.3,292.5032
64.0555,4100,69,5.3,219.2449
64.6994,4100,69,5.3,212.0308
68.4861,4100,69,5.3,161.2527
73.1391,4100,69,5.3,120.1381
73.5645,4100,69,5.3,136.8327
78.7233,4100,69,5.3,87.9358
79.2599,4100,69,5.3,100.6086
48.5098,1500,33,51,159.3538
49.1106,1500,33,51,146.9875
49.4066,1500,33,51,144.085
54.3808,1500,33,51,124.5643
60.7996,1500,33,51,90.5701
61.502,1500,33,51,93.5709
61.8112,1500,33,51,94.8679
63.1674,1500,33,51,71.2914
64.1437,1500,33,51,69.9032
68.6408,1500,33,51,51.3451
69.7541,1500,33,51,47.905
69.8601,1500,33,51,47.8313
75.8504,1500,33,51,44.0043
76.0845,1500,33,51,45.5873
80.0383,1500,33,51,30.7477
81.9909,1500,33,51,31.015
81.9909,1500,33,51,32.456
58.9824,2200,46,48,132.6175
66.9813,2200,46,48,79.9379
78.6317,2200,46,48,53.2546
86.2089,2200,46,48,35.0387
47.5723,2200,46,48,187.3851
49.1577,2200,46,48,171.7667
55.1369,2200,46,48,155.4799
56.1151,2200,46,48,149.1194
60.6311,2200,46,48,128.6426
64.3375,2200,46,48,108.2675
64.8561,2200,46,48,113.0746
70.5021,2200,46,48,84.6708
69.5281,2200,46,48,84.7201
73.4748,2200,46,48,67.5667
83.679,2200,46,48,30.2716
83.173,2200,46,48,38.4566
