Porosity,Displacement,Force,Time,YM,UTS,Fstrain,StrainRate
66.6188,15.63163203,66.6188,187.5719973,350,20,100,0.004902159
66.7701,21.15259421,66.7701,253.8219973,350,20,100,0.004902137
68.8565,15.72906881,68.8565,188.7409955,350,20,100,0.004902164
70.5073,19.10878074,70.5073,229.2979952,350,20,100,0.004902118
71.6904,15.47052529,71.6904,185.6379976,350,20,100,0.00490218
76.1705,18.25060243,76.1705,218.9989993,350,20,100,0.004902145
76.895,18.77412115,76.895,225.282004,350,20,100,0.004902123
77.9176,18.22802898,77.9176,218.7280032,350,20,100,0.004902148
49.219,13.4220071,49.219,161.0609957,396,20.6,173,0.004902055
50.7825,11.24114988,50.7825,134.8830024,396,20.6,173,0.004902353
51.338,10.4119155,51.338,124.9359963,396,20.6,173,0.004902235
56.5259,9.842773408,56.5259,118.0999982,396,20.6,173,0.004902512
56.8977,12.18950105,56.8977,146.2670046,396,20.6,173,0.004902196
60.1906,10.33264323,60.1906,123.9849999,396,20.6,173,0.004902226
60.428,12.76191927,60.428,153.1289969,396,20.6,173,0.00490241
60.643,15.72781912,60.643,188.7260043,396,20.6,173,0.004902164
61.2613,12.32195974,61.2613,147.8499971,396,20.6,173,0.004902409
64.787,12.29640943,64.787,147.5499941,396,20.6,173,0.004902191
65.6338,13.56929553,65.6338,162.8250033,396,20.6,173,0.004902158
66.5298,10.47367797,66.5298,125.6750018,396,20.6,173,0.004902317
70.9247,14.35272967,70.9247,172.2249972,396,20.6,173,0.004902182
70.974,14.40067416,70.974,172.7999941,396,20.6,173,0.00490219
71.8117,14.2706578,71.8117,171.2390048,396,20.6,173,0.004902215
74.4415,14.92758946,74.4415,179.1250063,396,20.6,173,0.004902127
75.1807,15.25682876,75.1807,183.0750033,396,20.6,173,0.004902147
75.4988,14.2193186,75.4988,170.6249993,396,20.6,173,0.004902157
81.1033,13.54023082,81.1033,162.4750054,396,20.6,173,0.004902195
82.9849,11.80695662,82.9849,141.6749941,396,20.6,173,0.004902254
83.0297,12.92350151,83.0297,155.0750038,396,20.6,173,0.004902183
34.4605,22.03763587,34.4605,264.4469973,4.6,8.9,120,0.004902047
41.2906,16.86377948,41.2906,202.3619988,4.6,8.9,120,0.004902042
50.2851,17.88878374,50.2851,214.6619937,4.6,8.9,120,0.004902039
55.4897,16.22566896,55.4897,194.705,4.6,8.9,120,0.004902037
59.4234,20.99678976,59.4234,251.9570071,4.6,8.9,120,0.004902048
69.3834,20.98708165,69.3834,251.8409945,4.6,8.9,120,0.004902038
75.4143,19.63075375,75.4143,235.5639946,4.6,8.9,120,0.004902066
50.3552,1.849354161,50.3552,22.18100093,2600,61,13,0.004904447
54.7512,2.072996726,54.7512,24.86400095,2600,61,13,0.004904319
60.5054,0.729473748,60.5054,8.744999558,2600,61,13,0.004906829
65.9692,1.678301872,65.9692,20.12699953,2600,61,13,0.004905035
75.5119,1.702720798,75.5119,20.42599931,2600,61,13,0.004903557
80.7881,1.518446519,80.7881,18.21499942,2600,61,13,0.004903672
45.0701,1.200641822,45.0701,14.39200042,2600,61,13,0.004907309
44.8914,0.925242854,44.8914,11.08900037,2600,61,13,0.004908111
50.5651,1.194805059,50.5651,14.32500044,2600,61,13,0.004906293
53.5807,1.674549665,53.5807,20.081,2600,61,13,0.00490528
58.218,1.718206131,58.218,20.60900043,2600,61,13,0.004904214
57.8562,1.619577021,57.8562,19.42400041,2600,61,13,0.004904718
59.5449,2.237497632,59.5449,26.83899942,2600,61,13,0.004903965
59.8576,2.086397385,59.8576,25.02999941,2600,61,13,0.004903286
66.693,1.692298064,66.693,20.30200067,2600,61,13,0.004903307
65.0623,1.398733734,65.0623,16.7780005,2600,61,13,0.004903949
71.3884,1.628332106,71.3884,19.53200021,2600,61,13,0.004903965
71.9781,1.515289964,71.9781,18.17700067,2600,61,13,0.004903708
77.491,2.53588621,77.491,30.42499986,2600,61,13,0.004902869
53.6595,10.45646576,53.6595,125.4609981,1434,45,101,0.004902609
54.7686,16.28635925,54.7686,195.4280001,1434,45,101,0.004902169
56.437,17.56436665,56.437,210.7639987,1434,45,101,0.004902156
57.438,14.70978291,57.438,176.5099927,1434,45,101,0.004902166
58.4297,15.88183761,58.4297,190.5770022,1434,45,101,0.004902091
62.697,12.59009287,62.697,151.0759951,1434,45,101,0.004902127
