Elastic Modulus,Yield Strength,Resilience,Toughness
5850.724669,279.7666264,7.060982633,13.7502378
5765.233119,175.4154828,2.890040577,6.792851138
5600.323858,129.8464835,1.702465093,4.569853836
5663.617333,104.5734779,1.100331739,3.34056053
2613.935911,56.81092274,0.697607479,1.879041986
5838.200651,293.006913,7.697340163,14.4853999
5740.886071,182.1232561,3.120846383,7.194038408
5578.698044,135.6216663,1.841587579,4.845308234
5645.087333,109.2478511,1.182691957,3.549648962
2621.313393,57.18544254,0.705558156,1.93352162
5511.403383,269.5939704,6.958052331,13.31007663
5424.920011,166.9492375,2.809375731,6.555915258
5275.026528,125.4648032,1.65502693,4.406752754
5331.466214,100.0976224,1.070281645,3.215350884
2509.8165,54.32944329,0.667993379,1.840063316
5849.356085,291.8426495,7.654009875,14.38991275
5751.144647,181.4285623,3.104311033,7.137751434
5592.003956,135.1089599,1.830437414,4.806273342
5654.845214,109.7168319,1.200071669,3.520113368
2623.461036,57.08498953,0.703451967,1.926086688
2612.464854,99.45280824,1.453425143,3.483640918
2970.82397,85.09903729,1.099820965,2.88907458
3599.805361,80.8949155,0.997162372,2.55032782
3057.314222,71.9722519,0.743778322,1.958573426
2373.369611,54.50634206,2.242805278,4.760125326
2615.469621,102.5165701,1.490330596,3.589819228
2971.161212,88.80583795,1.142382688,2.998051954
3597.722347,84.09805592,1.033789746,2.631615214
3063.291444,72.81171012,0.774154777,2.009975512
2374.258222,55.85670601,2.116453097,4.554287234
2514.074375,96.75125845,1.437170076,3.407209474
2850.425258,82.2676308,1.039992584,2.811823192
3444.789833,79.10917516,0.970180174,2.490831912
2934.606667,69.90769137,0.735213335,1.925012458
2289.052444,52.47856024,2.257145561,4.745049378
2617.84595,102.2363868,1.485791411,3.575555348
2974.152485,88.60873657,1.137237831,2.982821174
3601.902222,83.86529978,1.030733645,2.620110586
3063.832722,72.6213727,0.772227369,2.00314676
2376.096889,55.76375142,7.098645458,13.77531318
5550.674438,276.8433519,1.759702193,4.654430198
5709.761977,174.367711,1.557854221,3.974589198
5121.765056,130.1693568,0.53797034,1.696683412
3513.725239,101.606201,7.675192203,14.47046569
3340.437933,57.02142084,3.067003233,7.078952672
5529.331358,287.1984545,1.876590328,4.905433464
5685.543195,178.8969042,1.656134368,4.122479264
5113.912178,134.0591213,0.557002921,1.759237216
3514.199982,105.8514643,6.851440623,13.33573029
3340.937967,58.6825641,2.692066829,6.458161136
5266.623629,268.7183724,1.664609857,4.49886427
5418.627793,166.0235784,1.548644474,3.870630422
4867.379389,124.0901985,0.516423209,1.65504825
3361.957764,98.579193,7.570042266,14.38145594
3202.556133,54.99428144,3.025912166,7.025114522
5536.468778,285.7906041,1.866182826,4.869619966
5704.49828,178.2329827,1.648538866,4.101959
5122.835222,133.5553314,1.92343113,4.98003427
3518.294127,105.2682132,1.706749067,4.19250277
3344.721933,58.59539291,0.588435732,1.787407338
