Porosity,Young Modulus,Ultimate Strength,Fracture Strain,StrainRate
60.3544,1494,39,105,0.004902251
61.7953,1494,39,105,0.004902277
65.2927,1494,39,105,0.004902287
68.3614,1494,39,105,0.004902357
77.0659,1494,39,105,0.00490211
85.8024,1494,39,105,0.00490258
60.4928,1806,53,43,0.004902833
62.0953,1806,53,43,0.004902886
62.2148,1806,53,43,0.004902709
62.9408,1806,53,43,0.004902944
63.3437,1806,53,43,0.004903014
69.063,1806,53,43,0.004902337
69.1914,1806,53,43,0.004902524
76.7301,1806,53,43,0.004902498
77.2082,1806,53,43,0.004902544
79.3286,1806,53,43,0.004902626
87.1329,1806,53,43,0.0049027
87.4782,1806,53,43,0.004902724
87.4915,1806,53,43,0.004902513
38.0897,1752,45,41,0.004903812
40.5585,1752,45,41,0.004904203
41.9181,1752,45,41,0.00490494
43.3553,1752,45,41,0.004904136
43.8905,1752,45,41,0.004904098
45.8069,1752,45,41,0.004904585
48.3793,1752,45,41,0.004904261
59.1825,1752,45,41,0.004902342
61.8326,1752,45,41,0.00490305
63.5461,1752,45,41,0.004903317
66.2998,1752,45,41,0.004902419
69.1571,1752,45,41,0.004902579
72.3035,1752,45,41,0.004902663
76.3693,1752,45,41,0.004902447
76.9088,1752,45,41,0.004902474
78.6352,1752,45,41,0.004902724
84.3152,1752,45,41,0.004902717
37.5832,1305,37,110,0.004902091
38.4624,1305,37,110,0.0049023
38.9534,1305,37,110,0.004902083
38.9955,1305,37,110,0.004902063
41.5676,1305,37,110,0.004902203
45.5706,1305,37,110,0.004902154
47.9743,1305,37,110,0.004902197
55.8588,1305,37,110,0.004902094
58.9453,1305,37,110,0.004902158
59.2493,1305,37,110,0.004902191
63.9491,1305,37,110,0.004902089
66.3669,1305,37,110,0.00490204
75.6871,1305,37,110,0.004902098
77.8008,1305,37,110,0.004902051
84.5162,1305,37,110,0.004902158
86.0922,1305,37,110,0.004902073
90.0672,1305,37,110,0.004902188
36.7771,1673,46,51,0.004904636
39.8339,1673,46,51,0.004904452
42.7415,1673,46,51,0.004905863
45.5723,1673,46,51,0.00490413
45.6808,1673,46,51,0.004906046
50.1299,1673,46,51,0.004903329
53.6032,1673,46,51,0.004902901
54.1368,1673,46,51,0.004905214
55.3306,1673,46,51,0.004904694
58.9075,1673,46,51,0.004904401
59.6943,1673,46,51,0.004898127
60.038,1673,46,51,0.004903026
64.0037,1673,46,51,0.004902381
64.6911,1673,46,51,0.004902726
70.244,1673,46,51,0.00490223
71.777,1673,46,51,0.004902288
72.5367,1673,46,51,0.00490233
49.3379,4100,69,5.3,0.004916506
52.8755,4100,69,5.3,0.00491283
64.4733,4100,69,5.3,0.004912397
68.3443,4100,69,5.3,0.004916873
73.2157,4100,69,5.3,0.004911673
77.6195,4100,69,5.3,0.004908855
50.2079,4100,69,5.3,0.004916865
56.3058,4100,69,5.3,0.004917
60.2995,4100,69,5.3,0.004921948
60.9894,4100,69,5.3,0.004908788
64.0555,4100,69,5.3,0.004923405
64.6994,4100,69,5.3,0.00491502
68.4861,4100,69,5.3,0.004914361
73.1391,4100,69,5.3,0.00492088
73.5645,4100,69,5.3,0.004917629
78.7233,4100,69,5.3,0.004911598
79.2599,4100,69,5.3,0.004913152
48.5098,1500,33,51,0.004902961
49.1106,1500,33,51,0.004902677
49.4066,1500,33,51,0.004902434
54.3808,1500,33,51,0.004902203
60.7996,1500,33,51,0.004902112
61.502,1500,33,51,0.004902197
61.8112,1500,33,51,0.004902376
63.1674,1500,33,51,0.004902168
64.1437,1500,33,51,0.004902294
68.6408,1500,33,51,0.004902057
69.7541,1500,33,51,0.00490222
69.8601,1500,33,51,0.004902335
75.8504,1500,33,51,0.004902344
76.0845,1500,33,51,0.004902191
