Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YStress
69.063,1806,53,43,2.8939
69.1914,1806,53,43,3.1031
76.7301,1806,53,43,1.6235
77.2082,1806,53,43,1.8003
79.3286,1806,53,43,1.3301
87.1329,1806,53,43,0.804
87.4782,1806,53,43,0.6595
87.4915,1806,53,43,0.839
38.0897,1752,45,41,9.8081
40.5585,1752,45,41,8.4894
41.9181,1752,45,41,7.8506
43.3553,1752,45,41,9.5512
43.8905,1752,45,41,9.0973
45.8069,1752,45,41,8.2826
48.3793,1752,45,41,6.6775
59.1825,1752,45,41,3.8092
61.8326,1752,45,41,4.8582
63.5461,1752,45,41,4.057
66.2998,1752,45,41,2.5945
69.1571,1752,45,41,3.0942
72.3035,1752,45,41,1.5345
76.3693,1752,45,41,1.2296
76.9088,1752,45,41,1.221
78.6352,1752,45,41,1.5948
84.3152,1752,45,41,0.7233
37.5832,1305,37,110,5.1775
38.4624,1305,37,110,6.2201
38.9534,1305,37,110,5.6711
38.9955,1305,37,110,5.3658
41.5676,1305,37,110,5.612
45.5706,1305,37,110,4.4452
47.9743,1305,37,110,4.4059
55.8588,1305,37,110,3.0074
58.9453,1305,37,110,3.2283
59.2493,1305,37,110,2.9452
63.9491,1305,37,110,2.1582
66.3669,1305,37,110,2.1336
75.6871,1305,37,110,1.5976
77.8008,1305,37,110,1.3825
84.5162,1305,37,110,0.832
86.0922,1305,37,110,0.8701
90.0672,1305,37,110,0.3512
36.7771,1673,46,51,11.9299
39.8339,1673,46,51,10.8982
42.7415,1673,46,51,10.6998
45.5723,1673,46,51,10.046
45.6808,1673,46,51,9.9554
50.1299,1673,46,51,7.8991
53.6032,1673,46,51,6.681
54.1368,1673,46,51,6.7121
55.3306,1673,46,51,6.8691
58.9075,1673,46,51,5.1103
59.6943,1673,46,51,5.0029
60.038,1673,46,51,5.1115
64.0037,1673,46,51,3.7522
64.6911,1673,46,51,3.9601
70.244,1673,46,51,2.189
71.777,1673,46,51,2.0642
72.5367,1673,46,51,2.0954
49.3379,4100,69,5.3,6.4623
52.8755,4100,69,5.3,4.4577
64.4733,4100,69,5.3,4.487
68.3443,4100,69,5.3,2.8312
73.2157,4100,69,5.3,2.3511
77.6195,4100,69,5.3,0.9109
50.2079,4100,69,5.3,5.826
56.3058,4100,69,5.3,5.2213
60.2995,4100,69,5.3,4.1544
