"BalabanJ	PEOE_VSA5	SMR_VSA4	SMR_VSA5	SMR_VSA6	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA3	SlogP_VSA4	SlogP_VSA7	SlogP_VSA8	EState_VSA10	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA8	VSA_EState10	VSA_EState2	VSA_EState4	VSA_EState8	VSA_EState9	NHOHCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	fr_Ar_N	fr_allylic_oxid	fr_aniline	fr_bicyclic	fr_ester	fr_ether	fr_ketone	tg"
"5.492656712	0	0	19.62169028	0	0	0	0	0	0	0	6.875840478	0	0	6.554987323	0	0	0	0	0	0	-2.28587963	0	0	0	0	0	0	0	1	0	0	0	0	0	-105"
"5.00762049	0	0	13.24876538	0	0	0	0	0	0	0	6.875840478	0	0	6.554987323	0	0	0	0	0	0	-1.79724537	0	0	0	0	0	0	0	1	0	0	0	0	0	-91"
"6.495149893	0	5.893957685	33.34942288	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-9.076527778	0	0	0	0	0	0	0	0	0	0	0	0	0	-26"
"7.699785058	0	0	102.9726296	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-6.744142398	0	0	0	0	0	0	0	0	0	0	0	0	0	-24"
"6.470954751	0	0	38.74046498	0	0	0	0	0	0	0	6.875840478	0	0	0	0	0	0	0	0	0	-3.080386865	0	0	0	0	0	0	0	1	0	0	0	0	0	-78"
"4.250080852	0	11.78791537	45.61630546	0	0	0	0	0	0	11.78791537	13.27271374	0	0	0	0	0	0	0	0	0	-6.301098356	0	0	1	0	0	0	0	0	0	0	0	0	0	141"
"4.194017067	0	11.78791537	45.61630546	0	0	0	0	0	0	11.78791537	13.27271374	0	0	0	0	0	0	0	0	0	-6.260285573	0	0	1	0	0	0	0	0	0	0	0	0	0	132"
"7.001170175	0	0	58.3382069	0	0	0	0	0	0	0	6.875840478	0	0	0	0	0	0	0	0	0	-6.280393532	0	0	0	0	0	0	0	2	0	0	0	0	0	-83"
"6.411761737	0	5.893957685	26.95254961	0	0	0	0	0	0	5.893957685	6.875840478	0	0	0	0	0	0	0	0	0	-8.74649093	0	0	0	0	0	0	0	2	0	0	0	0	0	-47"
"3.807789231	0	5.893957685	25.51564797	0	0	0	0	0	0	5.893957685	6.396873262	0	0	6.554987323	0	0	0	0	0	0	-0.239583333	0	0	1	0	0	0	0	1	0	0	0	0	0	31"
"7.205619803	0	0	64.23216459	0	0	0	0	0	0	0	6.875840478	0	0	0	0	0	0	0	0	0	-3.559566804	0	0	0	0	0	0	0	1	0	0	0	0	0	-53"
"3.675948765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.10997465	0	0	0	0	0	1.407407407	0	0	0	0	0	0	0	0	0	0	0	0	0	-4"
"3.927010987	0	0	44.65837103	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-2.280555556	0	0	1	0	0	0	0	0	0	0	0	0	0	100"
"7.115888746	0	5.414990469	33.80444173	0	0	0	0	0	0	5.414990469	6.875840478	0	0	0	0	0	0	0	0	-3.358449074	-12.97658825	0	0	0	0	0	0	0	2	0	0	0	0	0	20"
"3.722974656	0	0	13.27271374	0	0	0	0	0	0	0	6.875840478	0	0	5.563451492	0	0	0	0	0	-0.144907407	-1.679539872	0	0	0	0	0	0	0	0	0	0	0	0	0	99.9"
"3.982106793	0	0	20.12460586	0	0	0	0	0	0	6.851892117	6.875840478	0	0	5.563451492	0	0	0	0	0	-0.948217593	-4.649979686	0	0	0	0	0	0	0	0	0	0	0	0	0	131"
"3.965062508	0	0	19.83169898	7.037952459	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.32287037	-5.11221927	-3.185308012	0	0	0	0	0	0	0	0	0	0	1	0	89"
"3.942739832	0	0	26.6835911	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.550563114	-12.29932087	0	0	0	0	0	0	0	0	0	0	0	1	0	74"
"3.93611867	0	0	33.056516	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.730197468	-12.98579309	0	0	0	0	0	0	0	0	0	0	0	1	0	97"
"4.055503995	0	0	39.61550124	0	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.778255858	-13.06372311	0	0	0	0	0	0	0	0	0	0	0	1	0	88"
"3.941844592	0	0	39.4294409	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.874779896	-13.50846375	0	0	0	0	0	0	0	0	0	0	0	1	0	67"
"3.955982265	0	0	45.8023658	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.99334664	-13.91249623	0	0	0	0	0	0	0	0	0	0	0	1	0	47"
"4.044578136	0	5.893957685	39.90840812	6.558985243	0	0	0	0	11.2958482	5.893957685	6.875840478	0	0	0	0	0	4.736862954	0	0	-2.019362324	-18.1687347	0	0	0	0	0	0	0	0	0	0	0	1	0	78"
"2.889124182	0	0	26.39068423	0	0	0	0	0	17.85483344	0	6.875840478	0	0	0	0	0	0	0	0	-2.617172238	-8.908099795	0	0	0	0	0	0	0	0	0	0	0	1	0	72"
"2.871219203	0	0	26.20462388	6.558985243	0	0	0	0	17.6687731	0	6.875840478	0	0	0	0	0	0	0	0	-2.949376165	-9.560526586	0	0	0	0	0	0	0	0	0	0	0	1	0	63"
"3.938900615	0	0	13.27271374	6.9758269	5.309813353	0	0	0	0	0	8.287682556	0	4.794537184	5.309813353	0	0	0	0	12.49529148	-1.323101852	-5.142969931	0	1	0	0	0	0	0	0	0	0	0	0	0	189"
"4.074719252	0	0	13.27271374	13.9516538	0	0	0	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.53241969	-1.61650463	-8.979033211	0	0	0	0	0	0	0	0	0	0	0	0	0	190"
"2.924679503	0	0	13.27271374	5.309813353	5.309813353	5.687386275	0	0	0	0	8.287682556	0	4.794537184	5.309813353	0	0	0	0	13.28505008	-2.162664452	-2.037856001	0	1	0	0	0	0	0	0	1	0	0	0	0	191"
"3.925272464	0	0	13.27271374	0	0	0	0	0	0	0	6.875840478	1.431199657	4.794537184	5.563451492	0	0	5.108808191	0	11.72924981	-0.948449074	-1.844959373	0	1	0	0	0	0	0	0	0	0	0	0	0	177"
"3.848424119	0	0	13.27271374	7.037952459	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.20362481	-1.241851852	-1.94421001	-3.122229308	0	0	0	0	0	0	0	0	0	1	1	0	130"
"3.810377316	0	0	20.12460586	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.52029148	-1.469544596	-8.808649573	0	0	0	0	0	0	0	0	0	0	1	1	0	118"
"3.801217818	0	0	26.49753076	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.74690712	-1.649178949	-9.344635679	0	0	0	0	0	0	0	0	0	0	1	1	0	108"
"3.918882936	0	0	33.056516	0	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.83695814	-1.697237339	-9.376547186	0	0	0	0	0	0	0	0	0	0	1	1	0	146"
"3.811137819	0	0	32.87045566	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.91718774	-1.793761377	-9.749685402	0	0	0	0	0	0	0	0	0	0	1	1	0	66"
"3.911747195	0	5.893957685	26.97649797	6.558985243	0	0	0	0	4.736862954	5.893957685	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.97352277	-1.828813303	-13.80295357	0	0	0	0	0	0	0	0	0	0	1	1	0	127"
"3.832599396	0	0	39.24338056	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	13.04985556	-1.912328121	-10.05976711	0	0	0	0	0	0	0	0	0	0	1	1	0	92"
"3.920073832	0	5.893957685	33.34942288	6.558985243	0	0	0	0	4.736862954	5.893957685	6.875840478	0	4.794537184	0	0	0	4.736862954	0	13.08746835	-1.938343805	-14.26039098	0	0	0	0	0	0	0	0	0	0	1	1	0	68"
"3.86041288	0	0	45.61630546	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	13.15615186	-2.011176453	-10.30370316	0	0	0	0	0	0	0	0	0	0	1	1	0	45"
"2.829664215	0	0	13.27271374	0	4.736862954	0	5.749511833	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.99338341	-1.2614787	-2.002992056	0	0	0	0	0	0	0	0	0	0	1	1	0	124"
"3.837573239	0	0	13.27271374	27.00749873	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.24341397	-1.854372717	-17.62844035	0	0	0	0	0	0	0	0	0	0	1	1	0	69"
"3.67345919	0	0	13.27271374	27.00749873	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	11.92150459	-1.712391998	-17.40056771	0	0	0	0	0	0	0	0	0	0	1	1	0	91"
"3.722974656	0	0	13.27271374	0	0	0	0	11.60093989	0	0	11.89847379	0	0	22.67092222	0	0	0	5.936597222	0	-0.046141975	-1.643984316	0	0	0	0	0	0	0	0	0	0	0	0	0	119"
"3.722974656	0	0	13.27271374	0	0	4.390415048	0	0	0	5.817220841	6.875840478	0	4.390415048	0	0	0	0	0	0	-0.478240741	-1.799539872	0	0	0	0	0	0	0	0	0	0	0	0	0	160.5"
"3.905987921	0	0	20.12460586	0	0	0	0	0	0	6.851892117	6.875840478	0	0	5.563451492	0	0	0	0	0	-0.963842593	-4.601072373	0	0	0	0	0	0	0	0	0	0	0	0	0	75"
"3.722974656	0	0	13.27271374	0	0	0	0	11.60093989	0	0	11.89847379	0	0	22.67092222	0	0	0	5.78026644	0	-0.089351852	-1.654848513	0	0	0	0	0	0	0	0	0	0	0	0	0	90"
"3.722974656	0	0	13.27271374	0	0	4.390415048	0	0	0	5.817220841	6.875840478	0	4.390415048	5.563451492	0	0	0	0	0	-0.332407407	-1.762873205	0	0	0	0	0	0	0	0	0	0	0	0	0	86"
"3.840722054	0	0	20.12460586	0	0	0	0	0	0	6.851892117	6.875840478	0	0	5.563451492	0	0	0	0	0	-0.938652683	-4.56025959	0	0	0	0	0	0	0	0	0	0	0	0	0	103"
"3.909191847	0	0	26.49753076	0	0	0	0	0	6.372924901	0	6.875840478	0	0	5.563451492	0	0	0	0	0	-1.246900983	-5.050733025	0	0	0	0	0	0	0	0	0	0	0	0	0	71.4"
"4.105686731	0	0	32.87045566	0	0	0	0	0	0	0	6.875840478	0	0	0	0	0	0	0	0	-1.555149282	-8.895592207	0	0	0	0	0	0	0	0	0	0	0	0	0	62.4"
"3.985756144	0	0	39.24338056	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-1.684886188	-5.573846006	0	0	0	0	0	0	0	0	0	0	0	0	0	6"
"4.371796862	0	0	39.24338056	0	0	0	0	0	5.414990469	0	6.875840478	0	0	0	0	0	0	0	0	-5.582366662	-13.31336806	0	0	0	0	0	0	0	0	0	0	0	0	0	138"
"4.037217091	0	0	51.98923036	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-1.963368874	-5.865178618	0	0	0	0	0	0	0	0	0	0	0	0	0	-27"
"4.081612502	0	0	64.73508017	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.153518258	-6.057662251	0	0	0	0	0	0	0	0	0	0	0	0	0	-45"
"4.102265313	0	0	71.10800507	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.227493945	-6.132180929	0	0	0	0	0	0	0	0	0	0	0	0	0	-53"
"4.122004198	0	0	77.48092997	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.291258445	-6.196488924	0	0	0	0	0	0	0	0	0	0	0	0	0	-65"
"4.158827349	0	0	90.22677977	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.395568907	-6.302161267	0	0	0	0	0	0	0	0	0	0	0	0	0	-52"
"4.192241267	0	0	102.9726296	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.477291708	-6.385634217	0	0	0	0	0	0	0	0	0	0	0	0	0	-36"
"4.22247114	0	0	115.7184794	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.543046691	-6.453401438	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5"
"4.249801158	0	0	128.4643292	0	0	0	0	0	6.372924901	0	6.875840478	0	0	0	0	0	0	0	0	-2.597099049	-6.509598345	0	0	0	0	0	0	0	0	0	0	0	0	0	32"
